Team,Project,File,File URL,Version,Commenter,Comment ID,Comment,Reply,Commented At,Complete,Annotation,Frame,Duration,Timecode,Timecode In,Timecode Out,Timecode Source,Timecode Source In,Timecode Source Out
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",f4028bc0-8d7b-4121-ab89-d2e99a89005c,"""new hawk jet?""",no,2021-04-22 03:08:34 AM,no,no,610,0,00:00:25:10,00:00:25:10,00:00:25:10,00:00:25:10,00:00:25:10,00:00:25:10
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",69933807-2659-41f8-bc58-4042258ce0e3,"""new hawk jet""",no,2021-04-22 03:09:00 AM,no,no,722,0,00:00:30:02,00:00:30:02,00:00:30:02,00:00:30:02,00:00:30:02,00:00:30:02
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",0582b30e-dc77-4d71-8881-4b598f9f1423,"""needs some love""",no,2021-04-22 03:09:22 AM,no,no,768,0,00:00:32:00,00:00:32:00,00:00:32:00,00:00:32:00,00:00:32:00,00:00:32:00
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",31fe96a3-ad48-4910-b6c7-4c038b7324ef,"""needs some love""",no,2021-04-22 03:09:32 AM,no,no,867,0,00:00:36:03,00:00:36:03,00:00:36:03,00:00:36:03,00:00:36:03,00:00:36:03
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",0d017f4d-ff2f-4b1a-983e-e99d32281757,"""the horror... the horror...""",no,2021-03-30 02:31:06 PM,no,no,1230,0,00:00:51:06,00:00:51:06,00:00:51:06,00:00:51:06,00:00:51:06,00:00:51:06
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",3a2a516c-f650-4a3b-a18d-9cb7bc83716a,"""need to fix""",no,2021-04-22 03:10:49 AM,no,no,2241,0,00:01:33:09,00:01:33:09,00:01:33:09,00:01:33:09,00:01:33:09,00:01:33:09
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",db4d3c7c-8492-4cf5-9f26-dc3776b3ccb1,"""need to fix""",no,2021-04-22 03:10:59 AM,no,no,2333,0,00:01:37:05,00:01:37:05,00:01:37:05,00:01:37:05,00:01:37:05,00:01:37:05
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",4425b858-5a08-4f88-8740-f10d0523798a,"""fix""",no,2021-04-22 03:11:36 AM,no,no,2731,0,00:01:53:19,00:01:53:19,00:01:53:19,00:01:53:19,00:01:53:19,00:01:53:19
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",a09cf941-f5af-45d8-bb68-a0269a4998a1,"""fix tracking""",no,2021-04-22 03:12:07 AM,no,no,3141,0,00:02:10:21,00:02:10:21,00:02:10:21,00:02:10:21,00:02:10:21,00:02:10:21
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",a64e8644-a379-4723-8b28-71c34d01484c,"""missing titles""",no,2021-04-22 03:13:15 AM,no,no,4580,0,00:03:10:20,00:03:10:20,00:03:10:20,00:03:10:20,00:03:10:20,00:03:10:20
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",95421b1c-e45e-46a3-9aa8-ca7081bd5fd7,"""add correct environment, awesome man flying out.""",no,2021-04-22 03:14:21 AM,no,no,5428,0,00:03:46:04,00:03:46:04,00:03:46:04,00:03:46:04,00:03:46:04,00:03:46:04
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",de5bdab7-7042-43be-b78f-f7e68e11e410,"""fix tracking""",no,2021-04-22 03:14:46 AM,no,no,5499,0,00:03:49:03,00:03:49:03,00:03:49:03,00:03:49:03,00:03:49:03,00:03:49:03
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",221315f7-5c9b-4403-9d12-29ca5f1b2bb9,"""wing of the chair jiggling. Might have to live with it""",no,2021-03-30 02:33:58 PM,no,yes,5641,0,00:03:55:01,00:03:55:01,00:03:55:01,00:03:55:01,00:03:55:01,00:03:55:01
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",ff155175-3961-4325-bfb5-b3ea4f71b833,"""The original idea was for this pillar behind her to be an extension of the chair rather than what looks like a curtain. The movement of the chair edges kind of undermine that. We wanted them attached to the pillar. Again, maybe too late.""",no,2021-03-30 02:36:02 PM,no,yes,5725,0,00:03:58:13,00:03:58:13,00:03:58:13,00:03:58:13,00:03:58:13,00:03:58:13
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",ccb3f491-8fc0-4122-991c-96a6c3c41f20,"""Supposed to have Awesome Man in this shot""",no,2021-03-30 02:37:16 PM,no,no,7215,0,00:05:00:15,00:05:00:15,00:05:00:15,00:05:00:15,00:05:00:15,00:05:00:15
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",c772272a-3752-472a-909e-cdd7b9d14346,"""titles and freeze frame odd""",no,2021-04-22 03:16:32 AM,no,no,7323,0,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",85bd2c03-0905-4606-9f74-5385d1403e47,"""Was this a freeze frame in the original? It feels awkward""",no,2021-03-30 02:38:03 PM,no,no,7323,0,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03,00:05:05:03
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",3e64eedb-2f38-45c2-a66b-c5f34515640e,""" add titles.""",no,2021-04-22 03:16:46 AM,no,no,7535,0,00:05:13:23,00:05:13:23,00:05:13:23,00:05:13:23,00:05:13:23,00:05:13:23
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",6bd4389d-82e0-4b47-90b3-1fe82dc1b527,"""replace with correct env""",no,2021-04-22 03:21:09 AM,no,no,13561,0,00:09:25:01,00:09:25:01,00:09:25:01,00:09:25:01,00:09:25:01,00:09:25:01
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",b1be75f7-565f-437e-8858-ba3487455197,"""speed effect on both of them.""",no,2021-04-22 03:22:05 AM,no,no,14584,0,00:10:07:16,00:10:07:16,00:10:07:16,00:10:07:16,00:10:07:16,00:10:07:16
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Samuel Laskey""",a1dc7744-1503-4b3d-aa8f-439b11d74fb7,"""Obviously still need Fast Force effect on both of them""",no,2021-03-30 02:44:25 PM,no,no,14812,0,00:10:17:04,00:10:17:04,00:10:17:04,00:10:17:04,00:10:17:04,00:10:17:04
"""BOOTLEG UNIVERSE""","""Guardians of Justice""","""gods_105_20210307_v25_IPP2_ah_checkfile.mp4""",https://app.frame.io/player/9a8065dd-0a52-4b67-856d-25e9f0da8888,1,"""Erick Geisler""",a6406f54-6514-46c7-8715-e700e3948fe1,"""replace add lightning.""",no,2021-04-22 03:23:54 AM,no,no,16701,0,00:11:35:21,00:11:35:21,00:11:35:21,00:11:35:21,00:11:35:21,00:11:35:21
