Timeline Bookmarks
Date, Time, Position, Description, Colour, Type, TimeCode
09/11/2020, 16:50:58.223, 87584, , 0, Composition, 01:00:49:08
09/11/2020, 17:09:53.125, 89506, , 0, Composition, 01:02:09:10
09/11/2020, 17:14:03.939, 92525, , 0, Composition, 01:04:15:05
09/11/2020, 16:41:38.848, 88577, ONLINE NOTES FROM BRANDON - FIRE DIDN'T LOOK GOOD IN HDR. NEW MATTE LAYERS FOR FIRE., 1, Segment, 01:01:30:17
09/11/2020, 16:41:38.851, 89398, ONLINE NOTE - MATTE EDGE IN SHOT FIXED, AND EXTRA MATTE LAYERS INCLUDED IN A0058_V03., 1, Segment, 01:02:04:22
09/11/2020, 16:41:38.856, 92563, ONLINE NOTE - FIXING RENDER ERROR AND BOUNDING BOX ERROR ON A0115_V03., 1, Segment, 01:04:16:19
17/11/2020, 16:39:12.422, 100234, WHITE FLASH FX - 4 FRAMES, 0, Segment, 01:09:36:10
17/11/2020, 17:00:46.384, 93113, , 0, Segment, 01:04:39:17
17/11/2020, 17:00:41.703, 93164, , 0, Segment, 01:04:41:20
17/11/2020, 17:01:50.447, 93544, , 0, Segment, 01:04:57:16
17/11/2020, 17:04:33.199, 94420, , 0, Segment, 01:05:34:04
17/11/2020, 17:07:44.428, 95190, , 0, Segment, 01:06:06:06
17/11/2020, 17:07:41.709, 95347, , 0, Segment, 01:06:12:19
17/11/2020, 17:07:31.916, 96972, , 0, Segment, 01:07:20:12
17/11/2020, 17:09:17.966, 98124, Real Smart Motion Blur render error, 0, Segment, 01:08:08:12
17/11/2020, 17:09:31.804, 98122, Real Smart Motion Blur render error, 0, Segment, 01:08:08:10
17/11/2020, 17:09:47.771, 98135, Real Smart Motion Blur render error, 0, Segment, 01:08:08:23
